7,2,7,-2.8696391815961175,True
13,4,7,0.3207429276315221,True
6,2,6,-3.4526767922856463,True
12,4,6,1.2424275806447926,True
14,4,8,-1.4215648972713424,True
15,5,6,-1.4970220991632461,True
8,2,8,-3.7059406833808533,True
16,5,7,2.147505816908175,True
1,0,7,-4.395200563273842,True
11,3,8,-1.0232326151661533,True
0,0,6,0.25968906001458475,True
5,1,8,2.0737877750168123,True
3,1,6,-0.2540235060853314,True
9,3,6,1.3877166756420651,True
4,1,7,-3.6450668380886637,True
10,3,7,0.8200043476581487,True
2,0,8,-4.479112716441078,True
17,5,8,4.858929337106264,True
0.0,sin,0.0,4.924273,0
1024.0,sin,0.0,4.924273,0
2048.0,sin,0.0,4.924273,0
3072.0,sin,0.0,4.924273,0
4096.0,sin,0.0,4.924273,0
5120.0,sin,0.0,4.924273,0
6144.0,abs,0.0,4.924273,9223372036854775807
7168.0,linear,0.0,4.924273,9223372036854775807
8192.0,sin,0.0,4.924273,9223372036854775807
fitness,-23
7,2,7,-2.8696391815961175,True
13,4,7,0.3207429276315221,True
6,2,6,-3.4526767922856463,True
12,4,6,1.2424275806447926,True
14,4,8,-1.4215648972713424,True
15,5,6,-1.4970220991632461,True
8,2,8,-3.7059406833808533,True
16,5,7,2.147505816908175,True
1,0,7,-4.395200563273842,True
11,3,8,-1.0232326151661533,True
0,0,6,0.25968906001458475,True
5,1,8,2.0737877750168123,True
3,1,6,-0.2540235060853314,True
9,3,6,1.3877166756420651,True
4,1,7,-3.6450668380886637,True
10,3,7,0.8200043476581487,True
2,0,8,-4.479112716441078,True
17,5,8,4.858929337106264,True
0.0,sin,0.0,4.924273,0
1024.0,sin,0.0,4.924273,0
2048.0,sin,0.0,4.924273,0
3072.0,sin,0.0,4.924273,0
4096.0,sin,0.0,4.924273,0
5120.0,sin,0.0,4.924273,0
6144.0,abs,0.0,4.924273,9223372036854775807
7168.0,linear,0.0,4.924273,9223372036854775807
8192.0,sin,0.0,4.924273,9223372036854775807
fitness,-23
7,2,7,-1.701815696955486,True
13,4,7,0.16128318069362463,True
6,2,6,-2.1198985894909557,True
12,4,6,1.5564121242584616,True
14,4,8,4.378730369334537,True
15,5,6,-3.8305964438679885,True
8,2,8,0.5458246824951605,True
16,5,7,-0.323891098782771,True
1,0,7,-1.7296806537748328,True
11,3,8,-1.9656569434075983,False
0,0,6,-1.1325299788597252,True
5,1,8,-1.2434147711995347,True
3,1,6,3.1050995124392387,True
9,3,6,1.934705700252183,True
4,1,7,-4.041218609635735,True
10,3,7,0.7119282931940765,True
2,0,8,-1.968303722942638,True
17,5,8,1.0528499265668807,True
0.0,sin,0.0,4.924273,0
1024.0,sin,0.0,4.924273,0
2048.0,sin,0.0,4.924273,0
3072.0,sin,0.0,4.924273,0
4096.0,sin,0.0,4.924273,0
5120.0,sin,0.0,4.924273,0
6144.0,linear,0.41175387375864214,4.924273,9223372036854775807
7168.0,sigmoid,0.0,4.924273,9223372036854775807
8192.0,abs,0.0,4.924273,9223372036854775807
fitness,-22
7,2,7,-1.0695839438941812,True
13,4,7,-0.30745329095838625,True
6,2,6,6.188426649110641,True
12,4,6,2.1013413665549168,True
14,4,8,2.479596906107231,True
15,5,6,-1.3894932156825917,True
8,2,8,-0.9713095992894452,False
16,5,7,-1.8425829619629064,True
1,0,7,1.4015516126545635,True
11,3,8,3.102188913238633,True
0,0,6,0.2789249069192337,True
5,1,8,-4.133531958886811,True
3,1,6,-1.2399788714223325,False
18,1,9,1.2525339319543465,True
9,3,6,-1.5725228256860522,True
4,1,7,2.0115663302983444,True
10,3,7,2.9756907243913986,True
2,0,8,-3.1836247893170357,True
19,9,6,2.1615662499390047,True
17,5,8,-0.6884810194141668,True
0.0,sin,0.0,4.924273,0
1024.0,sin,0.0,4.924273,0
2048.0,sin,0.0,4.924273,0
3072.0,sin,0.0,4.924273,0
4096.0,sin,0.0,4.924273,0
5120.0,sin,0.0,4.924273,0
6144.0,sin,0.0,4.924273,9223372036854775807
7168.0,linear,-0.44999532729426023,4.924273,9223372036854775807
8192.0,sigmoid,0.0,4.924273,9223372036854775807
3584.0,linear,0.2709508627418893,4.924273,1
fitness,-21
7,2,7,2.9143360461024246,True
13,4,7,-0.23335607402215972,True
6,2,6,-0.35395856694742767,True
12,4,6,-2.1876117333469725,True
14,4,8,1.290694473779969,True
15,5,6,-2.5316475830736236,True
8,2,8,-4.847530660426679,True
16,5,7,-1.1884348094663237,True
1,0,7,-3.2029238333545145,True
11,3,8,2.2705659673926095,True
0,0,6,-2.500794892003778,True
5,1,8,1.3869063425107142,True
3,1,6,-0.562887352166787,True
9,3,6,-1.2189412692219526,True
4,1,7,-0.9976800855060164,True
10,3,7,1.3013339454631772,True
2,0,8,1.2879718595857599,True
17,5,8,-5.09266673578836,True
0.0,sin,0.0,4.924273,0
1024.0,sin,0.0,4.924273,0
2048.0,sin,0.0,4.924273,0
3072.0,sin,0.0,4.924273,0
4096.0,sin,0.0,4.924273,0
5120.0,sin,0.0,4.924273,0
6144.0,sin,0.0,4.924273,9223372036854775807
7168.0,abs,0.0,4.924273,9223372036854775807
8192.0,sin,0.0,4.924273,9223372036854775807
fitness,-26
7,2,7,0.22582864404144976,True
13,4,7,2.8217459588040343,True
6,2,6,3.607366888905555,True
12,4,6,-1.176504795838579,True
14,4,8,-4.479665599963083,True
15,5,6,-0.20721106073366347,True
8,2,8,-1.998576212103852,True
16,5,7,-1.4506469987537092,False
1,0,7,-2.216502047211765,True
11,3,8,0.2843885764581823,True
0,0,6,1.062691423115763,True
